Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,AvgAccuracy
SAGEConv,Pubmed,0.0,0.005,0,0,0.688
SAGEConv,Pubmed,0.0,0.01,0,0,0.767
SAGEConv,Pubmed,0.0,0.015,0,0,0.768
SAGEConv,Pubmed,0.0,0.02,0,0,0.791
SAGEConv,Pubmed,0.0,0.025,0,0,0.798
SAGEConv,Pubmed,0.0,0.03,0,0,0.801
SAGEConv,Pubmed,0.5,0.005,575574,61591,0.689
SAGEConv,Pubmed,0.5,0.01,575574,61591,0.747
SAGEConv,Pubmed,0.5,0.015,575574,61591,0.743
SAGEConv,Pubmed,0.5,0.02,575574,61591,0.776
SAGEConv,Pubmed,0.5,0.025,575574,61591,0.768
SAGEConv,Pubmed,0.5,0.03,575574,61591,0.773
SAGEConv,Pubmed,0.6,0.005,156544,31460,0.746
SAGEConv,Pubmed,0.6,0.01,156544,31460,0.754
SAGEConv,Pubmed,0.6,0.015,156544,31460,0.77
SAGEConv,Pubmed,0.6,0.02,156544,31460,0.774
SAGEConv,Pubmed,0.6,0.025,156544,31460,0.775
SAGEConv,Pubmed,0.6,0.03,156544,31460,0.793
SAGEConv,Pubmed,0.7,0.005,32250,10086,0.676
SAGEConv,Pubmed,0.7,0.01,32250,10086,0.746
SAGEConv,Pubmed,0.7,0.015,32250,10086,0.785
SAGEConv,Pubmed,0.7,0.02,32250,10086,0.789
SAGEConv,Pubmed,0.7,0.025,32250,10086,0.789
SAGEConv,Pubmed,0.7,0.03,32250,10086,0.794
SAGEConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.751
SAGEConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.759
SAGEConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.789
SAGEConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.797
SAGEConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.797
SAGEConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.799
SAGEConv,Pubmed,0.8999999999999999,0.005,408,165,0.727
SAGEConv,Pubmed,0.8999999999999999,0.01,408,165,0.771
SAGEConv,Pubmed,0.8999999999999999,0.015,408,165,0.784
SAGEConv,Pubmed,0.8999999999999999,0.02,408,165,0.79
SAGEConv,Pubmed,0.8999999999999999,0.025,408,165,0.793
SAGEConv,Pubmed,0.8999999999999999,0.03,408,165,0.807
SAGEConv,Pubmed,0.0,0.005,0,0,0.64
SAGEConv,Pubmed,0.0,0.01,0,0,0.782
SAGEConv,Pubmed,0.0,0.015,0,0,0.788
SAGEConv,Pubmed,0.0,0.02,0,0,0.79
SAGEConv,Pubmed,0.0,0.025,0,0,0.793
SAGEConv,Pubmed,0.0,0.03,0,0,0.803
SAGEConv,Pubmed,0.5,0.005,575574,0,0.714
SAGEConv,Pubmed,0.5,0.01,575574,0,0.731
SAGEConv,Pubmed,0.5,0.015,575574,0,0.72
SAGEConv,Pubmed,0.5,0.02,575574,0,0.77
SAGEConv,Pubmed,0.5,0.025,575574,0,0.77
SAGEConv,Pubmed,0.5,0.03,575574,0,0.775
SAGEConv,Pubmed,0.6,0.005,156544,0,0.746
SAGEConv,Pubmed,0.6,0.01,156544,0,0.755
SAGEConv,Pubmed,0.6,0.015,156544,0,0.772
SAGEConv,Pubmed,0.6,0.02,156544,0,0.776
SAGEConv,Pubmed,0.6,0.025,156544,0,0.789
SAGEConv,Pubmed,0.6,0.03,156544,0,0.784
SAGEConv,Pubmed,0.7,0.005,32250,0,0.735
SAGEConv,Pubmed,0.7,0.01,32250,0,0.774
SAGEConv,Pubmed,0.7,0.015,32250,0,0.786
SAGEConv,Pubmed,0.7,0.02,32250,0,0.788
SAGEConv,Pubmed,0.7,0.025,32250,0,0.794
SAGEConv,Pubmed,0.7,0.03,32250,0,0.786
SAGEConv,Pubmed,0.7999999999999999,0.005,4810,0,0.725
SAGEConv,Pubmed,0.7999999999999999,0.01,4810,0,0.779
SAGEConv,Pubmed,0.7999999999999999,0.015,4810,0,0.779
SAGEConv,Pubmed,0.7999999999999999,0.02,4810,0,0.793
SAGEConv,Pubmed,0.7999999999999999,0.025,4810,0,0.777
SAGEConv,Pubmed,0.7999999999999999,0.03,4810,0,0.801
SAGEConv,Pubmed,0.8999999999999999,0.005,408,0,0.697
SAGEConv,Pubmed,0.8999999999999999,0.01,408,0,0.776
SAGEConv,Pubmed,0.8999999999999999,0.015,408,0,0.779
SAGEConv,Pubmed,0.8999999999999999,0.02,408,0,0.789
SAGEConv,Pubmed,0.8999999999999999,0.025,408,0,0.799
SAGEConv,Pubmed,0.8999999999999999,0.03,408,0,0.785
GraphConv,Pubmed,0.0,0.005,0,0,0.701
GraphConv,Pubmed,0.0,0.01,0,0,0.758
GraphConv,Pubmed,0.0,0.015,0,0,0.759
GraphConv,Pubmed,0.0,0.02,0,0,0.763
GraphConv,Pubmed,0.0,0.025,0,0,0.762
