Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,AvgAccuracy
SAGEConv,Pubmed,0.0,0.005,0,0,0.759
SAGEConv,Pubmed,0.0,0.01,0,0,0.766
SAGEConv,Pubmed,0.0,0.015,0,0,0.787
SAGEConv,Pubmed,0.0,0.02,0,0,0.801
SAGEConv,Pubmed,0.0,0.025,0,0,0.798
SAGEConv,Pubmed,0.5,0.005,61591,61591,0.727
SAGEConv,Pubmed,0.5,0.01,61591,61591,0.785
SAGEConv,Pubmed,0.5,0.015,61591,61591,0.782
SAGEConv,Pubmed,0.5,0.02,61591,61591,0.79
SAGEConv,Pubmed,0.5,0.025,61591,61591,0.794
SAGEConv,Pubmed,0.6,0.005,31460,31460,0.756
SAGEConv,Pubmed,0.6,0.01,31460,31460,0.773
SAGEConv,Pubmed,0.6,0.015,31460,31460,0.782
SAGEConv,Pubmed,0.6,0.02,31460,31460,0.783
SAGEConv,Pubmed,0.6,0.025,31460,31460,0.801
SAGEConv,Pubmed,0.7,0.005,10086,10086,0.728
SAGEConv,Pubmed,0.7,0.01,10086,10086,0.761
SAGEConv,Pubmed,0.7,0.015,10086,10086,0.786
SAGEConv,Pubmed,0.7,0.02,10086,10086,0.793
SAGEConv,Pubmed,0.7,0.025,10086,10086,0.785
SAGEConv,Pubmed,0.8,0.005,1669,1669,0.735
SAGEConv,Pubmed,0.8,0.01,1669,1669,0.777
SAGEConv,Pubmed,0.8,0.015,1669,1669,0.786
SAGEConv,Pubmed,0.8,0.02,1669,1669,0.772
SAGEConv,Pubmed,0.8,0.025,1669,1669,0.789
SAGEConv,Pubmed,0.9,0.005,165,165,0.738
SAGEConv,Pubmed,0.9,0.01,165,165,0.774
SAGEConv,Pubmed,0.9,0.015,165,165,0.788
SAGEConv,Pubmed,0.9,0.02,165,165,0.792
SAGEConv,Pubmed,0.9,0.025,165,165,0.801
SAGEConv,Pubmed,0.0,0.005,0,0,0.755
SAGEConv,Pubmed,0.0,0.01,0,0,0.765
SAGEConv,Pubmed,0.0,0.015,0,0,0.79
SAGEConv,Pubmed,0.0,0.02,0,0,0.794
SAGEConv,Pubmed,0.0,0.025,0,0,0.804
