Iteration,Algorithm,Dataset,ThresholdSim,Training%,NumAddedEdges,NumRemovedEdges,Accuracy
4,SAGEConv,Pubmed,0.0,0.005,0,0,0.693
3,SAGEConv,Pubmed,0.0,0.005,0,0,0.699
2,SAGEConv,Pubmed,0.0,0.005,0,0,0.693
1,SAGEConv,Pubmed,0.0,0.005,0,0,0.679
0,SAGEConv,Pubmed,0.0,0.005,0,0,0.678
4,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
3,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
2,SAGEConv,Pubmed,0.0,0.01,0,0,0.769
1,SAGEConv,Pubmed,0.0,0.01,0,0,0.768
0,SAGEConv,Pubmed,0.0,0.01,0,0,0.766
4,SAGEConv,Pubmed,0.0,0.015,0,0,0.768
3,SAGEConv,Pubmed,0.0,0.015,0,0,0.769
2,SAGEConv,Pubmed,0.0,0.015,0,0,0.767
1,SAGEConv,Pubmed,0.0,0.015,0,0,0.77
0,SAGEConv,Pubmed,0.0,0.015,0,0,0.768
4,SAGEConv,Pubmed,0.0,0.02,0,0,0.79
3,SAGEConv,Pubmed,0.0,0.02,0,0,0.792
2,SAGEConv,Pubmed,0.0,0.02,0,0,0.79
1,SAGEConv,Pubmed,0.0,0.02,0,0,0.791
0,SAGEConv,Pubmed,0.0,0.02,0,0,0.791
4,SAGEConv,Pubmed,0.0,0.025,0,0,0.798
3,SAGEConv,Pubmed,0.0,0.025,0,0,0.795
2,SAGEConv,Pubmed,0.0,0.025,0,0,0.798
1,SAGEConv,Pubmed,0.0,0.025,0,0,0.799
0,SAGEConv,Pubmed,0.0,0.025,0,0,0.798
4,SAGEConv,Pubmed,0.0,0.03,0,0,0.802
3,SAGEConv,Pubmed,0.0,0.03,0,0,0.799
2,SAGEConv,Pubmed,0.0,0.03,0,0,0.802
1,SAGEConv,Pubmed,0.0,0.03,0,0,0.801
0,SAGEConv,Pubmed,0.0,0.03,0,0,0.802
4,SAGEConv,Pubmed,0.5,0.005,575574,61591,0.69
3,SAGEConv,Pubmed,0.5,0.005,575574,61591,0.686
2,SAGEConv,Pubmed,0.5,0.005,575574,61591,0.69
1,SAGEConv,Pubmed,0.5,0.005,575574,61591,0.688
0,SAGEConv,Pubmed,0.5,0.005,575574,61591,0.692
4,SAGEConv,Pubmed,0.5,0.01,575574,61591,0.749
3,SAGEConv,Pubmed,0.5,0.01,575574,61591,0.747
2,SAGEConv,Pubmed,0.5,0.01,575574,61591,0.747
1,SAGEConv,Pubmed,0.5,0.01,575574,61591,0.746
0,SAGEConv,Pubmed,0.5,0.01,575574,61591,0.744
4,SAGEConv,Pubmed,0.5,0.015,575574,61591,0.744
3,SAGEConv,Pubmed,0.5,0.015,575574,61591,0.743
2,SAGEConv,Pubmed,0.5,0.015,575574,61591,0.743
1,SAGEConv,Pubmed,0.5,0.015,575574,61591,0.742
0,SAGEConv,Pubmed,0.5,0.015,575574,61591,0.745
4,SAGEConv,Pubmed,0.5,0.02,575574,61591,0.774
3,SAGEConv,Pubmed,0.5,0.02,575574,61591,0.776
2,SAGEConv,Pubmed,0.5,0.02,575574,61591,0.776
1,SAGEConv,Pubmed,0.5,0.02,575574,61591,0.778
0,SAGEConv,Pubmed,0.5,0.02,575574,61591,0.776
4,SAGEConv,Pubmed,0.5,0.025,575574,61591,0.767
3,SAGEConv,Pubmed,0.5,0.025,575574,61591,0.766
2,SAGEConv,Pubmed,0.5,0.025,575574,61591,0.768
1,SAGEConv,Pubmed,0.5,0.025,575574,61591,0.767
0,SAGEConv,Pubmed,0.5,0.025,575574,61591,0.77
4,SAGEConv,Pubmed,0.5,0.03,575574,61591,0.774
3,SAGEConv,Pubmed,0.5,0.03,575574,61591,0.772
2,SAGEConv,Pubmed,0.5,0.03,575574,61591,0.771
1,SAGEConv,Pubmed,0.5,0.03,575574,61591,0.771
0,SAGEConv,Pubmed,0.5,0.03,575574,61591,0.776
4,SAGEConv,Pubmed,0.6,0.005,156544,31460,0.747
3,SAGEConv,Pubmed,0.6,0.005,156544,31460,0.748
2,SAGEConv,Pubmed,0.6,0.005,156544,31460,0.745
1,SAGEConv,Pubmed,0.6,0.005,156544,31460,0.744
0,SAGEConv,Pubmed,0.6,0.005,156544,31460,0.745
4,SAGEConv,Pubmed,0.6,0.01,156544,31460,0.752
3,SAGEConv,Pubmed,0.6,0.01,156544,31460,0.753
2,SAGEConv,Pubmed,0.6,0.01,156544,31460,0.754
1,SAGEConv,Pubmed,0.6,0.01,156544,31460,0.756
0,SAGEConv,Pubmed,0.6,0.01,156544,31460,0.754
4,SAGEConv,Pubmed,0.6,0.015,156544,31460,0.77
3,SAGEConv,Pubmed,0.6,0.015,156544,31460,0.77
2,SAGEConv,Pubmed,0.6,0.015,156544,31460,0.77
1,SAGEConv,Pubmed,0.6,0.015,156544,31460,0.771
0,SAGEConv,Pubmed,0.6,0.015,156544,31460,0.77
4,SAGEConv,Pubmed,0.6,0.02,156544,31460,0.774
3,SAGEConv,Pubmed,0.6,0.02,156544,31460,0.774
2,SAGEConv,Pubmed,0.6,0.02,156544,31460,0.774
1,SAGEConv,Pubmed,0.6,0.02,156544,31460,0.774
0,SAGEConv,Pubmed,0.6,0.02,156544,31460,0.772
4,SAGEConv,Pubmed,0.6,0.025,156544,31460,0.776
3,SAGEConv,Pubmed,0.6,0.025,156544,31460,0.775
2,SAGEConv,Pubmed,0.6,0.025,156544,31460,0.775
1,SAGEConv,Pubmed,0.6,0.025,156544,31460,0.775
0,SAGEConv,Pubmed,0.6,0.025,156544,31460,0.776
4,SAGEConv,Pubmed,0.6,0.03,156544,31460,0.793
3,SAGEConv,Pubmed,0.6,0.03,156544,31460,0.794
2,SAGEConv,Pubmed,0.6,0.03,156544,31460,0.794
1,SAGEConv,Pubmed,0.6,0.03,156544,31460,0.792
0,SAGEConv,Pubmed,0.6,0.03,156544,31460,0.792
4,SAGEConv,Pubmed,0.7,0.005,32250,10086,0.683
3,SAGEConv,Pubmed,0.7,0.005,32250,10086,0.667
2,SAGEConv,Pubmed,0.7,0.005,32250,10086,0.671
1,SAGEConv,Pubmed,0.7,0.005,32250,10086,0.673
0,SAGEConv,Pubmed,0.7,0.005,32250,10086,0.688
4,SAGEConv,Pubmed,0.7,0.01,32250,10086,0.746
3,SAGEConv,Pubmed,0.7,0.01,32250,10086,0.745
2,SAGEConv,Pubmed,0.7,0.01,32250,10086,0.745
1,SAGEConv,Pubmed,0.7,0.01,32250,10086,0.748
0,SAGEConv,Pubmed,0.7,0.01,32250,10086,0.747
4,SAGEConv,Pubmed,0.7,0.015,32250,10086,0.785
3,SAGEConv,Pubmed,0.7,0.015,32250,10086,0.784
2,SAGEConv,Pubmed,0.7,0.015,32250,10086,0.786
1,SAGEConv,Pubmed,0.7,0.015,32250,10086,0.785
0,SAGEConv,Pubmed,0.7,0.015,32250,10086,0.785
4,SAGEConv,Pubmed,0.7,0.02,32250,10086,0.788
3,SAGEConv,Pubmed,0.7,0.02,32250,10086,0.788
2,SAGEConv,Pubmed,0.7,0.02,32250,10086,0.791
1,SAGEConv,Pubmed,0.7,0.02,32250,10086,0.79
0,SAGEConv,Pubmed,0.7,0.02,32250,10086,0.789
4,SAGEConv,Pubmed,0.7,0.025,32250,10086,0.79
3,SAGEConv,Pubmed,0.7,0.025,32250,10086,0.788
2,SAGEConv,Pubmed,0.7,0.025,32250,10086,0.786
1,SAGEConv,Pubmed,0.7,0.025,32250,10086,0.791
0,SAGEConv,Pubmed,0.7,0.025,32250,10086,0.791
4,SAGEConv,Pubmed,0.7,0.03,32250,10086,0.794
3,SAGEConv,Pubmed,0.7,0.03,32250,10086,0.791
2,SAGEConv,Pubmed,0.7,0.03,32250,10086,0.794
1,SAGEConv,Pubmed,0.7,0.03,32250,10086,0.793
0,SAGEConv,Pubmed,0.7,0.03,32250,10086,0.798
4,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.749
3,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.752
2,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.749
1,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.752
0,SAGEConv,Pubmed,0.7999999999999999,0.005,4810,1669,0.752
4,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.762
3,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.761
2,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.758
1,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.759
0,SAGEConv,Pubmed,0.7999999999999999,0.01,4810,1669,0.756
4,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.79
3,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.789
2,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.79
1,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.789
0,SAGEConv,Pubmed,0.7999999999999999,0.015,4810,1669,0.788
4,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.796
3,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.798
2,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.796
1,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.799
0,SAGEConv,Pubmed,0.7999999999999999,0.02,4810,1669,0.796
4,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.798
3,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.799
2,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.792
1,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.797
0,SAGEConv,Pubmed,0.7999999999999999,0.025,4810,1669,0.797
4,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.8
3,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.797
2,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.8
1,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.797
0,SAGEConv,Pubmed,0.7999999999999999,0.03,4810,1669,0.8
4,SAGEConv,Pubmed,0.8999999999999999,0.005,408,165,0.733
3,SAGEConv,Pubmed,0.8999999999999999,0.005,408,165,0.725
2,SAGEConv,Pubmed,0.8999999999999999,0.005,408,165,0.727
1,SAGEConv,Pubmed,0.8999999999999999,0.005,408,165,0.731
0,SAGEConv,Pubmed,0.8999999999999999,0.005,408,165,0.717
4,SAGEConv,Pubmed,0.8999999999999999,0.01,408,165,0.769
3,SAGEConv,Pubmed,0.8999999999999999,0.01,408,165,0.772
2,SAGEConv,Pubmed,0.8999999999999999,0.01,408,165,0.771
1,SAGEConv,Pubmed,0.8999999999999999,0.01,408,165,0.771
0,SAGEConv,Pubmed,0.8999999999999999,0.01,408,165,0.772
4,SAGEConv,Pubmed,0.8999999999999999,0.015,408,165,0.784
3,SAGEConv,Pubmed,0.8999999999999999,0.015,408,165,0.783
2,SAGEConv,Pubmed,0.8999999999999999,0.015,408,165,0.787
1,SAGEConv,Pubmed,0.8999999999999999,0.015,408,165,0.781
0,SAGEConv,Pubmed,0.8999999999999999,0.015,408,165,0.784
4,SAGEConv,Pubmed,0.8999999999999999,0.02,408,165,0.79
3,SAGEConv,Pubmed,0.8999999999999999,0.02,408,165,0.789
2,SAGEConv,Pubmed,0.8999999999999999,0.02,408,165,0.793
1,SAGEConv,Pubmed,0.8999999999999999,0.02,408,165,0.79
0,SAGEConv,Pubmed,0.8999999999999999,0.02,408,165,0.789
4,SAGEConv,Pubmed,0.8999999999999999,0.025,408,165,0.794
3,SAGEConv,Pubmed,0.8999999999999999,0.025,408,165,0.792
2,SAGEConv,Pubmed,0.8999999999999999,0.025,408,165,0.792
1,SAGEConv,Pubmed,0.8999999999999999,0.025,408,165,0.792
0,SAGEConv,Pubmed,0.8999999999999999,0.025,408,165,0.793
4,SAGEConv,Pubmed,0.8999999999999999,0.03,408,165,0.806
3,SAGEConv,Pubmed,0.8999999999999999,0.03,408,165,0.805
2,SAGEConv,Pubmed,0.8999999999999999,0.03,408,165,0.807
1,SAGEConv,Pubmed,0.8999999999999999,0.03,408,165,0.805
0,SAGEConv,Pubmed,0.8999999999999999,0.03,408,165,0.81
4,SAGEConv,Pubmed,0.0,0.005,0,0,0.639
3,SAGEConv,Pubmed,0.0,0.005,0,0,0.634
2,SAGEConv,Pubmed,0.0,0.005,0,0,0.641
1,SAGEConv,Pubmed,0.0,0.005,0,0,0.641
0,SAGEConv,Pubmed,0.0,0.005,0,0,0.643
4,SAGEConv,Pubmed,0.0,0.01,0,0,0.781
3,SAGEConv,Pubmed,0.0,0.01,0,0,0.783
2,SAGEConv,Pubmed,0.0,0.01,0,0,0.782
1,SAGEConv,Pubmed,0.0,0.01,0,0,0.78
0,SAGEConv,Pubmed,0.0,0.01,0,0,0.784
4,SAGEConv,Pubmed,0.0,0.015,0,0,0.788
3,SAGEConv,Pubmed,0.0,0.015,0,0,0.788
2,SAGEConv,Pubmed,0.0,0.015,0,0,0.789
1,SAGEConv,Pubmed,0.0,0.015,0,0,0.789
0,SAGEConv,Pubmed,0.0,0.015,0,0,0.787
4,SAGEConv,Pubmed,0.0,0.02,0,0,0.789
3,SAGEConv,Pubmed,0.0,0.02,0,0,0.79
2,SAGEConv,Pubmed,0.0,0.02,0,0,0.79
1,SAGEConv,Pubmed,0.0,0.02,0,0,0.793
0,SAGEConv,Pubmed,0.0,0.02,0,0,0.79
4,SAGEConv,Pubmed,0.0,0.025,0,0,0.791
3,SAGEConv,Pubmed,0.0,0.025,0,0,0.793
2,SAGEConv,Pubmed,0.0,0.025,0,0,0.795
1,SAGEConv,Pubmed,0.0,0.025,0,0,0.792
0,SAGEConv,Pubmed,0.0,0.025,0,0,0.793
4,SAGEConv,Pubmed,0.0,0.03,0,0,0.804
3,SAGEConv,Pubmed,0.0,0.03,0,0,0.8
2,SAGEConv,Pubmed,0.0,0.03,0,0,0.805
1,SAGEConv,Pubmed,0.0,0.03,0,0,0.803
0,SAGEConv,Pubmed,0.0,0.03,0,0,0.804
4,SAGEConv,Pubmed,0.5,0.005,575574,0,0.715
3,SAGEConv,Pubmed,0.5,0.005,575574,0,0.714
2,SAGEConv,Pubmed,0.5,0.005,575574,0,0.713
1,SAGEConv,Pubmed,0.5,0.005,575574,0,0.713
0,SAGEConv,Pubmed,0.5,0.005,575574,0,0.713
4,SAGEConv,Pubmed,0.5,0.01,575574,0,0.73
3,SAGEConv,Pubmed,0.5,0.01,575574,0,0.725
2,SAGEConv,Pubmed,0.5,0.01,575574,0,0.734
1,SAGEConv,Pubmed,0.5,0.01,575574,0,0.733
0,SAGEConv,Pubmed,0.5,0.01,575574,0,0.734
4,SAGEConv,Pubmed,0.5,0.015,575574,0,0.72
3,SAGEConv,Pubmed,0.5,0.015,575574,0,0.725
2,SAGEConv,Pubmed,0.5,0.015,575574,0,0.721
1,SAGEConv,Pubmed,0.5,0.015,575574,0,0.718
0,SAGEConv,Pubmed,0.5,0.015,575574,0,0.718
4,SAGEConv,Pubmed,0.5,0.02,575574,0,0.768
3,SAGEConv,Pubmed,0.5,0.02,575574,0,0.769
2,SAGEConv,Pubmed,0.5,0.02,575574,0,0.773
1,SAGEConv,Pubmed,0.5,0.02,575574,0,0.767
0,SAGEConv,Pubmed,0.5,0.02,575574,0,0.771
4,SAGEConv,Pubmed,0.5,0.025,575574,0,0.773
3,SAGEConv,Pubmed,0.5,0.025,575574,0,0.771
2,SAGEConv,Pubmed,0.5,0.025,575574,0,0.772
1,SAGEConv,Pubmed,0.5,0.025,575574,0,0.766
0,SAGEConv,Pubmed,0.5,0.025,575574,0,0.77
4,SAGEConv,Pubmed,0.5,0.03,575574,0,0.774
3,SAGEConv,Pubmed,0.5,0.03,575574,0,0.775
2,SAGEConv,Pubmed,0.5,0.03,575574,0,0.776
1,SAGEConv,Pubmed,0.5,0.03,575574,0,0.774
0,SAGEConv,Pubmed,0.5,0.03,575574,0,0.774
4,SAGEConv,Pubmed,0.6,0.005,156544,0,0.743
3,SAGEConv,Pubmed,0.6,0.005,156544,0,0.747
2,SAGEConv,Pubmed,0.6,0.005,156544,0,0.748
1,SAGEConv,Pubmed,0.6,0.005,156544,0,0.748
0,SAGEConv,Pubmed,0.6,0.005,156544,0,0.746
4,SAGEConv,Pubmed,0.6,0.01,156544,0,0.754
3,SAGEConv,Pubmed,0.6,0.01,156544,0,0.756
2,SAGEConv,Pubmed,0.6,0.01,156544,0,0.755
1,SAGEConv,Pubmed,0.6,0.01,156544,0,0.756
0,SAGEConv,Pubmed,0.6,0.01,156544,0,0.756
4,SAGEConv,Pubmed,0.6,0.015,156544,0,0.774
3,SAGEConv,Pubmed,0.6,0.015,156544,0,0.77
2,SAGEConv,Pubmed,0.6,0.015,156544,0,0.771
1,SAGEConv,Pubmed,0.6,0.015,156544,0,0.772
0,SAGEConv,Pubmed,0.6,0.015,156544,0,0.772
4,SAGEConv,Pubmed,0.6,0.02,156544,0,0.775
3,SAGEConv,Pubmed,0.6,0.02,156544,0,0.778
2,SAGEConv,Pubmed,0.6,0.02,156544,0,0.776
1,SAGEConv,Pubmed,0.6,0.02,156544,0,0.774
0,SAGEConv,Pubmed,0.6,0.02,156544,0,0.777
4,SAGEConv,Pubmed,0.6,0.025,156544,0,0.791
3,SAGEConv,Pubmed,0.6,0.025,156544,0,0.791
2,SAGEConv,Pubmed,0.6,0.025,156544,0,0.788
1,SAGEConv,Pubmed,0.6,0.025,156544,0,0.788
0,SAGEConv,Pubmed,0.6,0.025,156544,0,0.788
4,SAGEConv,Pubmed,0.6,0.03,156544,0,0.782
3,SAGEConv,Pubmed,0.6,0.03,156544,0,0.784
2,SAGEConv,Pubmed,0.6,0.03,156544,0,0.784
1,SAGEConv,Pubmed,0.6,0.03,156544,0,0.784
0,SAGEConv,Pubmed,0.6,0.03,156544,0,0.785
4,SAGEConv,Pubmed,0.7,0.005,32250,0,0.735
3,SAGEConv,Pubmed,0.7,0.005,32250,0,0.733
2,SAGEConv,Pubmed,0.7,0.005,32250,0,0.736
1,SAGEConv,Pubmed,0.7,0.005,32250,0,0.733
0,SAGEConv,Pubmed,0.7,0.005,32250,0,0.736
4,SAGEConv,Pubmed,0.7,0.01,32250,0,0.775
3,SAGEConv,Pubmed,0.7,0.01,32250,0,0.773
2,SAGEConv,Pubmed,0.7,0.01,32250,0,0.773
1,SAGEConv,Pubmed,0.7,0.01,32250,0,0.775
0,SAGEConv,Pubmed,0.7,0.01,32250,0,0.775
4,SAGEConv,Pubmed,0.7,0.015,32250,0,0.785
3,SAGEConv,Pubmed,0.7,0.015,32250,0,0.788
